date,open,high,close,low,volume,amount,factor
1992-07-22,6.85,7.0,7.0,6.85,455000.0,2212000.0,1.0
1992-07-23,7.0,7.0,7.0,7.0,1070000.0,5204000.0,1.0
1992-07-24,6.9,6.9,6.9,6.8,460000.0,2191000.0,1.0
1992-07-27,7.0,7.0,6.7,6.7,295000.0,1467000.0,1.0
1992-07-28,6.7,6.7,6.7,6.5,70000.0,333000.0,1.0
1992-07-29,6.5,6.7,6.7,6.5,200000.0,930000.0,1.0
1992-07-30,6.5,6.7,6.7,6.5,888000.0,4206000.0,1.0
1992-07-31,6.7,6.75,6.75,6.68,360000.0,1723000.0,1.0
1992-08-03,6.8,6.8,6.8,6.75,210000.0,1063000.0,1.0
1992-08-04,6.8,6.9,6.8,6.8,801000.0,4082000.0,1.0
1992-08-05,6.9,6.95,6.95,6.9,237000.0,1223000.0,1.0
1992-08-06,6.95,7.0,6.9,6.9,747000.0,3878000.0,1.0
1992-08-07,6.9,6.9,6.9,6.9,416000.0,2145000.0,1.0
1992-08-10,6.95,6.95,6.95,6.95,202000.0,1031000.0,1.0
1992-08-11,6.95,6.95,6.95,6.95,280000.0,1429000.0,1.0
1992-08-12,6.95,6.95,6.95,6.95,123000.0,628000.0,1.0
1992-08-13,7.0,7.0,7.0,6.95,260000.0,1333000.0,1.0
1992-08-14,7.0,7.0,7.0,7.0,7000.0,36000.0,1.0
1992-08-17,7.0,7.0,7.0,7.0,4000.0,19000.0,1.0
1992-08-18,6.95,6.95,6.95,6.95,450000.0,2214000.0,1.0
1992-08-19,7.0,7.0,6.95,6.95,302000.0,1486000.0,1.0
1992-08-20,6.95,6.95,6.95,6.95,954000.0,4694000.0,1.0
1992-08-21,6.95,6.95,6.95,6.95,650000.0,3198000.0,1.0
1992-08-25,6.9,6.9,6.9,6.9,200000.0,963000.0,1.0
1992-08-26,6.9,6.9,6.9,6.9,10000.0,48000.0,1.0
1992-08-27,6.8,6.9,6.9,6.8,202000.0,969000.0,1.0
1992-09-03,6.0,6.0,6.0,6.0,100000.0,416000.0,1.0
1992-09-04,6.5,6.8,6.8,6.4,69000.0,310000.0,1.0
1992-09-07,6.5,6.5,6.5,6.5,10000.0,44000.0,1.0
1992-09-09,6.2,6.5,6.5,6.2,340000.0,1495000.0,1.0
